TicketID,category,TicketText message
73,Billing Issue,Need to change payment method.
74,Feature Request,Add support for Apple Watch.
75,Account Access,Can't log in with Facebook.
76,General Inquiry,How do I recover deleted data?
77,Technical Issue,App displays error code 500.
78,Password reset,Can't reset password due to server error.
79,Billing Issue,Refund request denied.
80,Feature Request,Add a built-in calculator.
81,Account Access,Can't set up security questions.
82,General Inquiry,How do I update my profile?
83,Technical Issue,App doesn't recognize my location.
84,Password reset,Reset link not received after multiple attempts.
85,Billing Issue,Charged for add-ons I didn't purchase.
86,Feature Request,Add support for multiple accounts.
87,Account Access,Can't change my phone number.
88,General Inquiry,How do I export my data?
89,Technical Issue,App crashes during checkout.
90,Password reset,Reset link leads to error page.
91,Billing Issue,Payment failed but money deducted.
92,Feature Request,Add support for QR code login.
93,Account Access,Can't access account after password change.
94,General Inquiry,How do I enable notifications?
95,Technical Issue,App doesn't display images.
96,Password reset,Reset email not delivered.
97,Billing Issue,Charged for cancelled subscription.
98,Feature Request,Add support for recurring reminders.
99,Account Access,Can't update my address.
100,General Inquiry,How do I change my subscription plan?
101,Technical Issue,App freezes when opening messages.
102,Password reset,Reset link not working on desktop.
103,Billing Issue,Incorrect billing cycle.
104,Feature Request,Add support for exporting to PDF.
105,Account Access,Can't remove secondary email.
106,General Inquiry,How do I contact technical support?
107,Technical Issue,App doesn't save my preferences.
108,Password reset,Reset link not sent to my email.
109,Billing Issue,Charged for upgrade I didn't request.
110,Feature Request,Add support for custom avatars.
111,Account Access,Can't access account after verification.
112,General Inquiry,How do I change my password?
113,Technical Issue,App doesn't update automatically.
114,Password reset,Reset link not working in browser.
115,Billing Issue,Refund not received after 7 days.
116,Feature Request,Add support for group chats.
117,Account Access,Can't update my payment information.
118,General Inquiry,How do I download my data?
119,Technical Issue,App doesn't display notifications.
120,Password reset,Reset link leads to login page.
121,Billing Issue,Charged for extra users.
122,Feature Request,Add support for calendar sync.
123,Account Access,Can't change my security settings.
124,General Inquiry,How do I close my account?
125,Technical Issue,App doesn't load after update.
126,Password reset,Reset link not working on iOS.
127,Billing Issue,Charged for features not used.
128,Feature Request,Add support for custom themes.
129,Account Access,Can't access account after device change.
130,General Inquiry,How do I update my billing info?
131,Technical Issue,App doesn't display correct time zone.
132,Password reset,Reset link not working on Android.
133,Billing Issue,Charged for duplicate accounts.
134,Feature Request,Add support for push-to-talk.
135,Account Access,Can't update my profile photo.
136,General Inquiry,How do I change my notification settings?
137,Technical Issue,App doesn't display search results.
138,Password reset,Reset link not working in app.
139,Billing Issue,Charged after account closure.
140,Feature Request,Add support for custom shortcuts.
141,Account Access,Can't access account after password reset.
142,General Inquiry,How do I change my language settings?
143,Technical Issue,App doesn't display correct currency.
144,Password reset,Reset link not working on web.
145,Billing Issue,Charged for expired subscription.
146,Feature Request,Add support for voice messages.
147,Account Access,Can't update my email preferences.
148,General Inquiry,How do I change my display name?
149,Technical Issue,App doesn't display notifications on lock screen.
150,Password reset,Reset link not working after multiple attempts.
151,Billing Issue,Charged for plan downgrade.
152,Feature Request,Add support for custom ringtones.
153,Account Access,Can't access account after email change.
154,General Inquiry,How do I change my contact info?
155,Technical Issue,App doesn't display correct date.
156,Password reset,Reset link not working after reset.
157,Billing Issue,Charged for plan upgrade.
158,Feature Request,Add support for custom widgets.
159,Account Access,Can't update my security questions.
160,General Inquiry,How do I change my account type?
161,Technical Issue,App doesn't display correct user info.
162,Password reset,Reset link not working after login.
163,Billing Issue,Charged for plan renewal.
164,Feature Request,Add support for custom backgrounds.
165,Account Access,Can't access account after phone number change.
166,General Inquiry,How do I change my subscription settings?
167,Technical Issue,App doesn't display correct plan.
168,Password reset,Reset link not working after logout.
169,Billing Issue,Charged for plan cancellation.
170,Feature Request,Add support for custom icons.
171,Account Access,Can't update my account settings.
172,General Inquiry,How do I change my payment method?
173,Technical Issue,App doesn't display correct billing info.
174,Password reset,Reset link not working after verification.
175,Billing Issue,Charged for plan suspension.
176,Feature Request,Add support for custom notifications sounds.
177,Account Access,Can't access account after subscription change.
178,General Inquiry,How do I change my account password?
179,Technical Issue,App doesn't display correct subscription info.
180,Password reset,Reset link not working after account recovery.
181,Billing Issue,Charged for plan reactivation.
182,Feature Request,Add support for custom login screens.
183,Account Access,Can't update my account password.
184,General Inquiry,How do I change my account email?
185,Technical Issue,App doesn't display correct account info.
186,Password reset,Reset link not working after password change.
187,Billing Issue,Charged for plan extension.
188,Feature Request,Add support for custom splash screens.
189,Account Access,Can't access account after password update.
190,General Inquiry,How do I change my account username?
191,Technical Issue,App doesn't display correct user settings.
192,Password reset,Reset link not working after email change.
193,Billing Issue,Charged for plan transfer.
194,Feature Request,Add support for custom login methods.
195,Account Access,Can't update my account email.
196,General Inquiry,How do I change my account security settings?
197,Technical Issue,App doesn't display correct notification settings.
198,Password reset,Reset link not working after security update.
199,Billing Issue,Charged for plan migration.
200,Feature Request,Add support for custom account types.
